"","date","day_of_week","emotion"
"102",2022-04-12,"Tuesday","unhappy"
"103",2022-04-13,"Wednesday","neutral"
"104",2022-04-14,"Thursday","neutral"
"105",2022-04-15,"Friday","neutral"
"106",2022-04-16,"Saturday","neutral"
"107",2022-04-17,"Sunday","neutral"
"108",2022-04-18,"Monday","neutral"
"109",2022-04-19,"Tuesday","neutral"
"110",2022-04-20,"Wednesday","neutral"
"111",2022-04-21,"Thursday","neutral"
"112",2022-04-22,"Friday","neutral"
"113",2022-04-23,"Saturday","neutral"
"114",2022-04-24,"Sunday","neutral"
"115",2022-04-25,"Monday","neutral"
"116",2022-04-26,"Tuesday","happy"
"117",2022-04-27,"Wednesday","neutral"
"118",2022-04-28,"Thursday","neutral"
"119",2022-04-29,"Friday","neutral"
"120",2022-04-30,"Saturday","neutral"
"121",2022-05-01,"Sunday","neutral"
"122",2022-05-02,"Monday","happy"
"123",2022-05-03,"Tuesday","unhappy"
"124",2022-05-04,"Wednesday","unhappy"
"125",2022-05-05,"Thursday","neutral"
"126",2022-05-06,"Friday","neutral"
"127",2022-05-07,"Saturday","neutral"
"128",2022-05-08,"Sunday","neutral"
"129",2022-05-09,"Monday","happy"
"130",2022-05-10,"Tuesday","neutral"
"131",2022-05-11,"Wednesday","neutral"
"132",2022-05-12,"Thursday","neutral"
"133",2022-05-13,"Friday","neutral"
"134",2022-05-14,"Saturday","neutral"
"135",2022-05-15,"Sunday","neutral"
"136",2022-05-16,"Monday","neutral"
"137",2022-05-17,"Tuesday","happy"
"138",2022-05-18,"Wednesday","neutral"
"139",2022-05-19,"Thursday","neutral"
"140",2022-05-20,"Friday","neutral"
"141",2022-05-21,"Saturday","neutral"
"142",2022-05-22,"Sunday","unhappy"
"143",2022-05-23,"Monday","neutral"
"144",2022-05-24,"Tuesday","neutral"
"145",2022-05-25,"Wednesday","neutral"
"146",2022-05-26,"Thursday","neutral"
"147",2022-05-27,"Friday","neutral"
"148",2022-05-28,"Saturday","unhappy"
"149",2022-05-29,"Sunday","neutral"
"150",2022-05-30,"Monday","neutral"
"151",2022-05-31,"Tuesday","neutral"
"152",2022-06-01,"Wednesday","neutral"
"153",2022-06-02,"Thursday","neutral"
"154",2022-06-03,"Friday","neutral"
"155",2022-06-04,"Saturday","unhappy"
"156",2022-06-05,"Sunday","neutral"
"157",2022-06-06,"Monday","neutral"
"158",2022-06-07,"Tuesday","neutral"
